"DATUM_ID","KALENDER_ID","DATUM","WOCHENTAG","TYP","TEXT","DA_T_ERSTELLT_AM","DA_T_GEAENDERT_AM"
"20211226","A","2021-12-26","Sonntag","HF","Stefanitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20211231","A","2021-12-31","Freitag","A","Silvester","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20220101","A","2022-01-01","Samstag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20220418","A","2022-04-18","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20220526","A","2022-05-26","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20220616","A","2022-06-16","Donnerstag","HF","Fronleichnam","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20220815","A","2022-08-15","Montag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20221225","A","2022-12-25","Sonntag","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20230101","A","2023-01-01","Sonntag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20230407","A","2023-04-07","Freitag","A","Karfreitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20230410","A","2023-04-10","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20230815","A","2023-08-15","Dienstag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20231225","A","2023-12-25","Montag","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20240101","A","2024-01-01","Montag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20240329","A","2024-03-29","Freitag","A","Karfreitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
